ID,Taxonrich,logTN,ELEV,longitude,logprecip,logAREA,logCL,logHCO3,logSO4,SED,STRMTEMP,Percent.AGT,Percent.URB,Percent.Canopy,Riparian.Disturb.
507,20,3.85997844,159,-117.301667,-1.139434283,3.215269329,8.654900851,8.194713718,8.674692544,93.33333333,16.6,31.33,0.29,0.045454546,0
508,35,2.593286066,494,-114.01602,-1.049822124,9.475267503,9.173790489,8.302944679,9.90342255,73.33333333,27,0.68,0.27,0.318181818,0
509,52,1.93449845,689,-118.52751,-0.84397007,4.515245478,3.676300672,8.214761814,6.190725158,31.42857143,5.2,0.06,0.26,0,1.325759091
510,47,2.060697841,2528,-109.85383,-0.119910297,0.924258902,2.261763098,6.163066352,5.421861553,3.296703297,11.9,0,0.25,0.318181818,0
511,66,2.444044796,643,-119.909167,-0.443166975,2.532902848,5.570631962,8.761443329,8.324894023,26.66666667,12.4,0.11,0.23,0,0
512,31,2.466867621,846,-113.663056,-0.853315933,7.008324334,6.593044534,8.159882331,7.267106638,55.23809524,15.7,1.41,0.23,0,1.6591
513,51,2.591064606,1827,-107.9104,-0.444725822,8.967449367,5.790571605,7.946472093,7.636173074,21.15384615,19,8.11,0.22,0.875,1.090909091
514,44,2.987666264,506,-100.32274,-0.832409248,7.677326319,6.305910257,8.870920875,8.750176176,83.80952381,20.5,41.72,0.21,0.454545455,1.5
515,38,2.525044807,1424,-116.484167,-1.03563749,9.677359552,6.847155657,8.074230371,7.091326055,58.0952381,17.9,2.81,0.21,1,1.5
516,30,3.352375497,1798,-112.18467,-0.802962047,8.754085001,6.000176488,8.139055228,6.836688831,27.18446602,12.5,1.27,0.2,1,0.8182
517,43,2.440909083,1862,-104.945278,-0.553385238,5.231696679,5.195730778,7.34716991,5.931714543,40.90909091,12.2,1.49,0.17,0.125,0
518,40,2.05690485,1333,-109.768889,-0.913793852,5.352900244,5.014627315,8.714886823,7.205338176,57.14285714,9.4,2.87,0.17,1,0.530322727
519,33,3.023252459,2152,-112.49866,-0.458865885,5.68085497,4.279440046,7.585618757,3.446807893,32.38095238,16.3,0.03,0.16,0,1.5
520,42,2.2787536,916,-110.83649,-0.515838166,6.306147542,6.367672474,8.106050318,5.55101972,40.95238095,18.9,0.16,0.15,0.363636364,1.151518182
521,51,2.390935108,764,-102.641389,-0.761426021,7.130530763,6.430042007,8.185315663,9.585250048,52.88461539,22,19.25,0.15,0.818181818,1.363636364
522,29,2.35410844,1086,-117.010556,-0.169602784,4.556295018,4.728272383,8.071904753,7.031652916,13.33333333,14.3,0.16,0.13,1,0
523,35,3.006037956,690,-102.02499,-0.877070019,7.872291265,5.648974238,8.538285973,9.839764699,58.0952381,17.6,77.55,0.13,1,0.33335
524,24,3.239299478,803,-101.79717,-0.802962047,6.978549194,5.105945474,8.491914767,6.350187393,86.66666667,25.9,26.23,0.13,0,0
525,36,3.014520538,623,-101.464,-0.853315933,4.12147323,6.150176238,9.006989767,8.925600633,91.34615385,24,2.58,0.12,0.5,1.022727273
526,34,2.904715544,613,-101.70366,-0.884307686,9.231857215,5.800001332,8.874150476,9.500701353,39.04761905,18.9,39.44,0.12,1,1.431818182
527,28,2.990338854,1585,-115.053889,-1.394326533,2.646174797,5.227894902,8.304924271,5.455321115,92.63157895,17,16.76,0.11,1,1.5
528,76,1.954242509,428,-122.97348,0.583332315,2.568021556,2.687847494,6.494520566,3.927896355,0,9.4,0,0.11,0,0
529,42,2.976808338,643,-101.61667,-0.872273846,8.223573526,6.288230238,8.386613552,10.30180384,50.96153846,19.8,72.24,0.1,1,0.424263636
530,16,2.980457893,601,-101.501667,-0.908818717,9.167129067,5.805134969,8.783652252,9.363799384,50.47619048,20.8,13.01,0.1,0.863636364,1.5
531,24,3.017450731,704,-100.889444,-0.767870727,7.870754009,4.021773869,7.962653099,5.650381698,66.66666667,24.5,25.55,0.1,0.409090909,1.204545455
